evtime	station	ptime	stime	pscore	sscore	evsource
2017-12-19 20:34:42.000000	LONQ	1513715687.93200000	1513715691.66100000	0.00000000	0.00000000	MANUAL
2017-12-19 20:34:42.000000	TOL1	1513715688.51000000	1513715692.39200000	0.00000000	0.00000000	MANUAL
2017-12-21 16:28:21.000000	COP2	1513873705.83600000	1513873708.92600000	0.00000000	0.00000000	MANUAL
2017-12-21 16:28:21.000000	COPA	1513873707.44500000	1513873711.73900000	0.00000000	0.00000000	MANUAL
2017-12-21 16:28:21.000000	LONQ	1513873706.58500000	1513873710.18500000	0.00000000	0.00000000	MANUAL
2017-12-21 16:28:21.000000	TOL1	1513873707.13800000	1513873711.00600000	0.00000000	0.00000000	MANUAL
2017-12-27 06:47:46.000000	CALL	1514357273.07800000	1514357277.52000000	0.00000000	0.00000000	MANUAL
2017-12-27 06:47:46.000000	COP2	1514357270.78900000	1514357273.98500000	0.00000000	0.00000000	MANUAL
2017-12-27 06:47:46.000000	LONQ	1514357271.54900000	1514357275.16300000	0.00000000	0.00000000	MANUAL
2017-12-27 06:47:46.000000	TOL1	1514357272.08600000	1514357275.96800000	0.00000000	0.00000000	MANUAL
2018-01-01 23:06:31.000000	COP2	1514847996.46700000	1514847999.55100000	0.00000000	0.00000000	MANUAL
2018-01-01 23:06:31.000000	COPA	1514847997.99300000	1514848002.41200000	0.00000000	0.00000000	MANUAL
2018-01-01 23:06:31.000000	LONQ	1514847997.16300000	1514848001.29000000	0.00000000	0.00000000	MANUAL
2018-01-01 23:06:31.000000	TOL1	1514847997.76700000	1514848001.58600000	0.00000000	0.00000000	MANUAL
2018-01-09 14:11:54.000000	COP2	1515507119.36800000	1515507122.36900000	0.00000000	0.00000000	MANUAL
2018-01-09 14:11:54.000000	COPA	1515507120.97000000	1515507125.16700000	0.00000000	0.00000000	MANUAL
2018-01-09 14:11:54.000000	TOL1	1515507120.67700000	1515507124.45600000	0.00000000	0.00000000	MANUAL
2018-02-17 10:43:15.000000	COP2	1518864200.09600000	1518864203.24000000	0.00000000	0.00000000	MANUAL
2018-02-17 10:43:15.000000	COPA	1518864198.50400000	1518864200.39700000	0.00000000	0.00000000	MANUAL
2018-02-17 10:43:15.000000	LONQ	1518864207.64800000	1518864216.48700000	0.00000000	0.00000000	MANUAL
2018-02-17 10:43:15.000000	TOL1	1518864207.78400000	1518864216.47900000	0.00000000	0.00000000	MANUAL
2018-02-18 11:38:48.000000	COP2	1518953934.30700000	1518953938.40300000	0.00000000	0.00000000	MANUAL
2018-02-18 11:38:48.000000	COPA	1518953932.73600000	1518953935.77900000	0.00000000	0.00000000	MANUAL
2018-02-18 11:38:48.000000	LONQ	1518953941.91500000	1518953952.21600000	0.00000000	0.00000000	MANUAL
2018-02-18 11:38:48.000000	MANZ	1518953943.54700000	1518953954.24800000	0.00000000	0.00000000	MANUAL
2018-02-18 11:38:48.000000	TOL1	1518953942.18500000	1518953952.05300000	0.00000000	0.00000000	MANUAL
2018-02-20 18:59:27.000000	COP2	1519153176.57900000	1519153182.75400000	0.00000000	0.00000000	MANUAL
2018-02-20 18:59:27.000000	COPA	1519153178.11800000	1519153185.36100000	0.00000000	0.00000000	MANUAL
2018-02-20 18:59:27.000000	LONQ	1519153171.97600000	NULL	0.00000000	NULL	MANUAL
2018-02-20 18:59:27.000000	MANZ	1519153171.71400000	1519153173.94200000	0.00000000	0.00000000	MANUAL
2018-02-20 18:59:27.000000	TOL1	1519153170.78400000	1519153172.51100000	0.00000000	0.00000000	MANUAL
2018-04-06 20:58:39.000000	COP2	1523048321.92700000	1523048323.11500000	0.00000000	0.00000000	MANUAL
2018-04-06 20:58:39.000000	COPA	1523048323.26100000	1523048325.54800000	0.00000000	0.00000000	MANUAL
2018-04-06 20:58:39.000000	LONQ	1523048328.03800000	1523048333.79100000	0.00000000	0.00000000	MANUAL
2018-04-06 20:58:39.000000	TOL1	1523048328.12200000	1523048333.83500000	0.00000000	0.00000000	MANUAL
2018-05-23 21:22:57.000000	COP2	1527110588.09300000	1527110593.32500000	0.00000000	0.00000000	MANUAL
2018-05-23 21:22:57.000000	COPA	1527110588.77400000	1527110595.83800000	0.00000000	0.00000000	MANUAL
2018-05-23 21:22:57.000000	LONQ	1527110580.96100000	1527110582.46600000	0.00000000	0.00000000	MANUAL
2018-05-23 21:22:57.000000	MANZ	1527110580.46700000	1527110583.15300000	0.00000000	0.00000000	MANUAL
2018-05-23 21:22:57.000000	TOL1	1527110580.38200000	1527110581.37300000	0.00000000	0.00000000	MANUAL
