 _____________________________________ 
< HOLA, ESTO ESTA EN DESARROLLO AUN!! >
 ------------------------------------- 
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||
Conecting to SQL database...
 Database: BetaGema     (IP 192.168.1.19:3306)

[44] 2017-12-27 06:47:46  -38.1874 -71.4532   6.2   M 1.6    8 ph  GAP 167  RMS 0.2 s  ERR  6.7 km xyz(  5.1 km,  3.0 km, 10.0 km) [MANUAL]
[45] 2018-01-01 23:06:31  -38.1710 -71.4693   9.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[46] 2018-01-01 23:06:31  -38.1661 -71.4832   9.0   M 2.0    8 ph  GAP 185  RMS 0.2 s  ERR  7.8 km xyz(  8.9 km,  5.7 km,  8.4 km) [MANUAL]
[47] 2018-01-09 14:11:54  -38.1638 -71.4860   6.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[48] 2018-01-09 14:11:54  -38.1757 -71.4655   6.1   M 1.3    6 ph  GAP 179  RMS 0.3 s  ERR 10.4 km xyz( 12.5 km,  9.4 km,  8.9 km) [MANUAL]
[49] 2018-02-17 10:43:15  -37.8763 -71.2995   8.9   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[50] 2018-02-17 10:43:15  -37.8643 -71.2913   8.8   M 2.3    8 ph  GAP 307  RMS 0.3 s  ERR  9.9 km xyz( 12.8 km,  8.2 km,  8.1 km) [MANUAL]
[51] 2018-02-18 11:38:48  -37.8158 -71.2517  12.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[52] 2018-02-18 11:38:48  -37.8041 -71.2538  11.1   M 2.6   10 ph  GAP 326  RMS 0.1 s  ERR 13.6 km xyz( 17.4 km, 12.1 km, 10.3 km) [MANUAL]
[53] 2018-02-20 18:59:27  -38.3281 -71.6520  12.6   M 2.2    9 ph  GAP 196  RMS 0.3 s  ERR  9.1 km xyz( 11.4 km,  7.2 km,  8.1 km) [MANUAL]
[54] 2018-02-20 18:59:28  -38.3534 -71.5865   8.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[55] 2018-04-06 20:58:38  -38.0652 -71.3608   9.5   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[56] 2018-04-06 20:58:39  -38.0522 -71.3645   8.2   M 2.4    8 ph  GAP 187  RMS 0.3 s  ERR  6.1 km xyz(  7.6 km,  5.4 km,  5.1 km) [MANUAL]
[57] 2018-05-23 21:22:57  -38.3567 -71.6282   6.1   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[58] 2018-05-23 21:22:57  -38.3591 -71.6451   9.0   M 1.8   10 ph  GAP 156  RMS 0.4 s  ERR  4.9 km xyz(  4.8 km,  4.8 km,  5.2 km) [MANUAL]
[59] 2018-05-26 19:51:47  -38.0714 -71.3590   8.6   M 2.5    8 ph  GAP 178  RMS 0.3 s  ERR  5.9 km xyz(  6.9 km,  5.5 km,  5.2 km) [MANUAL]
[60] 2018-05-26 19:51:48  -38.0674 -71.3637   9.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[61] 2018-06-04 08:45:04  -38.1385 -71.4424   9.4   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[62] 2018-06-04 08:45:04  -38.1413 -71.4440   6.1   M 1.0    6 ph  GAP 182  RMS 0.3 s  ERR 10.1 km xyz( 12.6 km,  9.1 km,  8.0 km) [MANUAL]
[63] 2018-06-07 10:03:29  -38.1932 -71.4677   9.1   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[64] 2018-06-07 10:03:29  -38.1896 -71.4722   9.0   M 1.3    8 ph  GAP 176  RMS 0.2 s  ERR  7.4 km xyz(  7.7 km,  5.3 km,  8.8 km) [MANUAL]
[65] 2018-06-12 18:18:20  -38.2389 -71.5730   8.9   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[66] 2018-06-12 18:18:20  -38.2412 -71.5642   9.0   M 2.5   10 ph  GAP 187  RMS 0.2 s  ERR  5.6 km xyz(  5.6 km,  3.9 km,  6.8 km) [MANUAL]
[67] 2018-06-20 07:04:16  -38.1929 -71.4713   9.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[68] 2018-06-20 07:04:16  -38.1917 -71.4695   9.3   M 1.8   10 ph  GAP 175  RMS 0.2 s  ERR  6.1 km xyz(  6.4 km,  4.5 km,  7.0 km) [MANUAL]
[69] 2018-06-30 16:25:42  -38.3861 -71.6024   2.1   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[70] 2018-06-30 16:25:42  -38.3573 -71.5874   5.4   M 2.0    8 ph  GAP 136  RMS 0.2 s  ERR  3.7 km xyz(  3.1 km,  3.6 km,  4.2 km) [MANUAL]
[71] 2019-01-01 09:45:48  -38.3984 -71.6383   6.1   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[72] 2019-01-01 09:45:48  -38.4061 -71.6232   7.0   M 2.3   12 ph  GAP 151  RMS 0.2 s  ERR  5.3 km xyz(  6.5 km,  4.0 km,  5.2 km) [MANUAL]
[73] 2019-01-29 04:02:18  -37.8135 -71.2488  10.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[74] 2019-01-29 04:02:20  -37.9433 -71.2068   4.5   M 2.1   10 ph  GAP 316  RMS 0.5 s  ERR 16.7 km xyz( 17.6 km, 18.4 km, 13.6 km) [MANUAL]
[75] 2019-02-21 14:05:22  -37.6927 -71.3139  -2.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[76] 2019-02-21 14:05:23  -37.7537 -71.0244  20.0   M 2.9   12 ph  GAP 339  RMS 0.2 s  ERR  9.9 km xyz( 10.4 km,  9.7 km,  9.7 km) [MANUAL]
[77] 2019-02-21 14:08:33  -37.7535 -70.9920  20.0   M 2.2    8 ph  GAP 344  RMS 0.2 s  ERR 14.7 km xyz( 14.3 km, 15.4 km, 14.4 km) [MANUAL]
[78] 2019-02-21 14:08:34  -37.7544 -71.1743  11.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[79] 2019-02-22 02:47:22  -37.7643 -71.1412  18.4   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[80] 2019-02-22 02:47:22  -37.7798 -71.0999  12.2   M 1.3    8 ph  GAP 340  RMS 0.4 s  ERR 20.2 km xyz( 20.3 km, 22.1 km, 17.8 km) [MANUAL]
[81] 2019-02-22 02:49:23  -37.7652 -71.0602  14.1   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[82] 2019-02-22 02:49:25  -37.8658 -71.1425  15.3   M 1.8    9 ph  GAP 329  RMS 0.2 s  ERR 10.6 km xyz( 12.9 km,  9.8 km,  8.7 km) [MANUAL]
[83] 2019-02-22 07:13:44  -37.7127 -70.9951   6.4   M 3.3   12 ph  GAP 341  RMS 0.4 s  ERR 12.4 km xyz(  9.7 km, 14.4 km, 12.6 km) [MANUAL]
[84] 2019-02-22 07:13:47  -37.8452 -71.1001  11.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[85] 2019-02-22 07:19:28  -37.7441 -71.2758   1.0   M 1.7    7 ph  GAP 326  RMS 0.3 s  ERR 15.7 km xyz( 18.9 km, 14.2 km, 13.5 km) [MANUAL]
[86] 2019-02-22 07:19:30  -37.7430 -71.2343  11.8   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[87] 2019-02-22 07:23:58  -37.7652 -71.0965  17.6   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[88] 2019-02-22 07:23:58  -37.7282 -71.0787  20.0   M 1.7    8 ph  GAP 341  RMS 0.1 s  ERR 12.2 km xyz( 12.1 km, 11.3 km, 13.2 km) [MANUAL]
