[110] 2019-02-22 21:18:58  -37.8286 -71.0049  11.1   M 2.4   10 ph  GAP 333  RMS 0.3 s  ERR 10.4 km xyz(  7.4 km, 10.4 km, 12.8 km) [MANUAL]
[111] 2019-02-22 21:27:37  -37.7900 -70.9944  17.3   M 1.7    7 ph  GAP 342  RMS 0.2 s  ERR 13.7 km xyz( 15.8 km, 13.1 km, 11.8 km) [MANUAL]
[113] 2019-02-22 21:46:51  -37.7687 -71.0216  21.1   M 1.8    7 ph  GAP 343  RMS 0.1 s  ERR 13.8 km xyz( 16.6 km, 12.7 km, 11.5 km) [MANUAL]
[115] 2019-02-22 21:54:24  -37.7474 -71.0542  21.1   M 3.2   12 ph  GAP 340  RMS 0.2 s  ERR  8.5 km xyz(  9.2 km,  7.9 km,  8.2 km) [MANUAL]
[118] 2019-02-23 00:25:35  -37.7614 -71.2919   1.0   M 1.5    6 ph  GAP 322  RMS 0.2 s  ERR 16.2 km xyz( 19.3 km, 15.8 km, 12.6 km) [MANUAL]
[120] 2019-02-23 02:39:47  -37.7272 -71.3246   1.0   M 1.7    8 ph  GAP 321  RMS 0.2 s  ERR 17.3 km xyz( 23.5 km, 12.7 km, 13.7 km) [MANUAL]
[121] 2019-02-23 03:15:38  -37.7344 -71.0327  20.4   M 1.7    8 ph  GAP 343  RMS 0.2 s  ERR 11.5 km xyz( 11.0 km, 11.4 km, 12.2 km) [MANUAL]
[124] 2019-02-23 03:29:14  -37.7814 -71.0053  21.1   M 1.9    8 ph  GAP 342  RMS 0.1 s  ERR  9.6 km xyz(  9.1 km, 10.4 km,  9.3 km) [MANUAL]
[126] 2019-02-23 03:55:24  -37.9141 -71.1597  12.0   M 2.3   11 ph  GAP 322  RMS 0.2 s  ERR  5.9 km xyz(  5.5 km,  6.7 km,  5.4 km) [MANUAL]
[128] 2019-02-23 06:23:19  -37.7602 -71.0379  21.1   M 2.1    9 ph  GAP 338  RMS 0.2 s  ERR 10.4 km xyz(  8.2 km, 10.9 km, 11.8 km) [MANUAL]
[129] 2019-02-23 09:16:20  -37.7558 -71.0271  21.9   M 3.4   12 ph  GAP 338  RMS 0.2 s  ERR  8.9 km xyz( 10.0 km,  8.8 km,  7.8 km) [MANUAL]
[132] 2019-02-23 10:23:14  -37.7621 -70.9919  18.4   M 2.0    8 ph  GAP 343  RMS 0.2 s  ERR 13.5 km xyz( 12.1 km, 14.0 km, 14.4 km) [MANUAL]
[133] 2019-02-24 06:56:39  -37.7343 -71.0219  19.6   M 2.5   10 ph  GAP 340  RMS 0.1 s  ERR  9.1 km xyz( 10.4 km,  8.0 km,  8.7 km) [MANUAL]
[135] 2019-03-02 21:17:48  -37.5670 -71.5765  16.9   M 3.8    8 ph  GAP 342  RMS 0.3 s  ERR 29.2 km xyz( 40.0 km, 19.2 km, 24.3 km) [MANUAL]
[137] 2019-04-04 05:22:57  -38.3537 -71.6194   8.0   M 1.8   12 ph  GAP 167  RMS 0.4 s  ERR  5.9 km xyz(  7.5 km,  3.7 km,  5.8 km) [MANUAL]
[139] 2019-04-04 19:00:02  -37.9518 -71.4680   9.7   M 1.1    8 ph  GAP 144  RMS 0.1 s  ERR  5.1 km xyz(  4.0 km,  4.1 km,  6.8 km) [MANUAL]
[142] 2019-04-05 15:19:04  -37.8610 -71.2575   6.2   M 1.8    8 ph  GAP 275  RMS 0.1 s  ERR  4.6 km xyz(  3.0 km,  2.6 km,  6.9 km) [MANUAL]
[144] 2019-04-06 01:05:04  -37.8610 -71.2575   9.0   M 1.8   10 ph  GAP 275  RMS 0.2 s  ERR  5.7 km xyz(  2.9 km,  3.4 km,  8.7 km) [MANUAL]
[146] 2019-04-09 07:44:40  -38.2215 -71.4286   9.3   M 1.4   10 ph  GAP 204  RMS 0.4 s  ERR  7.2 km xyz(  4.4 km,  6.8 km,  9.6 km) [MANUAL]
[148] 2019-04-09 09:35:00  -38.1573 -71.4154  16.7   M 1.4   10 ph  GAP 189  RMS 0.1 s  ERR  6.4 km xyz(  3.6 km,  6.7 km,  8.1 km) [MANUAL]
[149] 2019-04-09 20:20:35  -38.2173 -71.4314   9.0   M 1.4   10 ph  GAP 202  RMS 0.4 s  ERR  6.2 km xyz(  4.0 km,  5.5 km,  8.4 km) [MANUAL]
[152] 2019-04-12 10:33:00  -37.8598 -71.2426   8.8   M 1.6    8 ph  GAP 281  RMS 0.1 s  ERR  5.1 km xyz(  3.2 km,  3.2 km,  7.6 km) [MANUAL]
[154] 2019-04-20 00:51:28  -37.8382 -71.2049   7.2   M 1.7    8 ph  GAP 299  RMS 0.0 s  ERR 11.1 km xyz( 13.2 km,  8.3 km, 11.2 km) [MANUAL]
[156] 2019-04-22 07:11:52  -37.8243 -71.1982   4.7   M 1.7    9 ph  GAP 302  RMS 0.1 s  ERR  6.3 km xyz(  5.4 km,  4.4 km,  8.4 km) [MANUAL]
[157] 2019-04-22 07:11:53  -37.8296 -71.1941   8.0   M 1.8   10 ph  GAP 303  RMS 0.1 s  ERR  5.9 km xyz(  5.1 km,  4.3 km,  7.7 km) [MANUAL]
[159] 2019-04-22 18:33:00  -37.8648 -71.4157  33.5   M 2.6   12 ph  GAP 236  RMS 0.6 s  ERR 10.5 km xyz(  9.3 km, 13.6 km,  7.8 km) [MANUAL]
[160] 2019-04-22 18:33:01  -37.8926 -71.3804  33.9   M 2.5   12 ph  GAP 215  RMS 1.0 s  ERR  8.5 km xyz(  8.0 km, 10.6 km,  6.1 km) [MANUAL]
[162] 2019-04-23 16:13:33  -37.8930 -71.0151   3.3   M 1.3    8 ph  GAP 330  RMS 0.1 s  ERR 10.5 km xyz(  9.5 km, 10.7 km, 11.3 km) [MANUAL]
[164] 2019-04-26 01:23:06  -38.2131 -71.4504   9.0   M 2.5   12 ph  GAP 184  RMS 0.3 s  ERR  4.6 km xyz(  3.9 km,  2.1 km,  6.7 km) [MANUAL]
[166] 2019-04-26 10:32:14  -37.8804 -71.0531  18.0   M 1.7    9 ph  GAP 319  RMS 0.2 s  ERR  9.9 km xyz( 10.7 km,  8.6 km, 10.2 km) [MANUAL]
[168] 2019-04-27 02:10:44  -38.2155 -71.2510   3.3   M 1.1    6 ph  GAP 323  RMS 0.2 s  ERR 22.6 km xyz( 28.6 km, 23.5 km, 13.0 km) [MANUAL]
[170] 2019-04-27 22:56:52  -38.2184 -71.4327   9.1   M 1.3    8 ph  GAP 202  RMS 0.3 s  ERR  6.1 km xyz(  4.5 km,  6.1 km,  7.4 km) [MANUAL]
[172] 2019-04-29 21:52:34  -37.8418 -71.0588  14.2   M 2.5   10 ph  GAP 318  RMS 0.3 s  ERR  9.3 km xyz(  9.8 km,  8.8 km,  9.2 km) [MANUAL]
[174] 2019-05-04 01:13:17  -38.2109 -71.4395   9.3   M 1.9   10 ph  GAP 198  RMS 0.3 s  ERR  6.2 km xyz(  4.3 km,  6.6 km,  7.4 km) [MANUAL]
[176] 2019-05-07 18:38:02  -37.7781 -71.1945   1.0   M 1.4    8 ph  GAP 308  RMS 0.2 s  ERR 11.9 km xyz(  6.4 km,  6.6 km, 18.5 km) [MANUAL]
[177] 2019-05-12 10:27:38  -37.9605 -70.9969   3.2   M 1.5    8 ph  GAP 315  RMS 0.1 s  ERR  8.3 km xyz(  6.0 km,  9.1 km,  9.4 km) [MANUAL]
[180] 2019-05-18 18:03:15  -37.8930 -71.2221   8.6   M 1.5   10 ph  GAP 288  RMS 0.2 s  ERR  4.3 km xyz(  3.7 km,  3.4 km,  5.5 km) [MANUAL]
[182] 2019-05-20 09:29:25  -37.8802 -71.2384   9.0   M 1.7   10 ph  GAP 279  RMS 0.2 s  ERR  4.3 km xyz(  3.2 km,  3.3 km,  5.9 km) [MANUAL]
[184] 2019-05-20 09:29:41  -37.8781 -71.2519   8.2   M 1.7    8 ph  GAP 272  RMS 0.1 s  ERR  6.0 km xyz(  3.7 km,  3.4 km,  9.0 km) [MANUAL]
[186] 2019-05-21 00:39:58  -37.8521 -71.4482   1.0   M 1.0    6 ph  GAP 251  RMS 0.1 s  ERR  7.1 km xyz(  5.1 km,  7.5 km,  8.4 km) [MANUAL]
[188] 2019-05-29 15:45:42  -38.1615 -71.3937  14.8   M 2.2    8 ph  GAP 197  RMS 0.1 s  ERR  6.3 km xyz(  4.0 km,  6.9 km,  7.4 km) [MANUAL]
[189] 2019-06-02 03:14:07  -37.8716 -71.2412   7.0   M 1.1    6 ph  GAP 306  RMS 0.0 s  ERR  8.0 km xyz(  5.9 km,  8.7 km,  9.0 km) [MANUAL]
[191] 2019-06-02 08:18:34  -37.8738 -71.2357   7.8   M 1.4    6 ph  GAP 308  RMS 0.0 s  ERR  6.5 km xyz(  5.8 km,  5.3 km,  8.1 km) [MANUAL]
[193] 2019-06-04 19:33:55  -38.0109 -71.3506   6.0   M 1.7    6 ph  GAP 161  RMS 0.0 s  ERR  6.6 km xyz(  4.2 km,  7.2 km,  7.9 km) [MANUAL]
[196] 2019-06-06 15:33:47  -38.0012 -71.3411   6.5   M 1.4    6 ph  GAP 144  RMS 0.1 s  ERR  5.1 km xyz(  2.4 km,  4.1 km,  7.6 km) [MANUAL]
[198] 2019-06-09 03:34:42  -37.9201 -71.4296   1.0   M 1.2    8 ph  GAP 182  RMS 0.1 s  ERR  5.4 km xyz(  3.2 km,  3.8 km,  7.9 km) [MANUAL]
[199] 2019-06-11 19:21:16  -38.3533 -71.4727  38.2   M 2.2   10 ph  GAP 212  RMS 0.5 s  ERR 12.2 km xyz( 15.3 km,  9.8 km, 10.6 km) [MANUAL]
[202] 2019-06-12 21:49:37  -38.2114 -71.4429   9.1   M 1.9   14 ph  GAP 177  RMS 0.3 s  ERR  3.8 km xyz(  4.0 km,  1.9 km,  5.0 km) [MANUAL]
